step,diagnostic_batches,samples,p_top1,q_top1,probe_top1,p_target_rank,q_target_rank,p_target_prob,q_target_prob,delta_logqp
500,7,672.0,0.00744047619047619,0.013392857142857142,0.001488095238095238,52.5625,49.197916666666664,0.008704965801898215,0.010212389904370952,5.832335648792131
1000,50,4800.0,0.01125,0.011041666666666667,0.0014583333333333334,50.20854166666667,49.87708333333333,0.01026862730765482,0.010098171287827426,5.590800319264332
1500,50,4800.0,0.009166666666666667,0.009791666666666667,0.0027083333333333334,50.75958333333333,50.47354166666667,0.0091119014444813,0.010026067893923027,6.709805839409431
2000,50,4800.0,0.00875,0.008958333333333334,0.0033333333333333335,51.418958333333336,51.34625,0.009639100111967272,0.009901057782262796,7.403194109698137
2500,50,4800.0,0.008541666666666666,0.010208333333333333,0.0014583333333333334,51.011875,49.81,0.008301101732415309,0.010062847444496583,7.821897292931874
