iteration,iter_time,data_time,lr,samples/s/device,samples/s,samples_seen(M),device_mem(GB),grad_x_fd,grad_x_vlm_delta,grad_ratio_vlm_fd,cos_update_fd_vlm,vlm_delta_logqp,vlm_delta_logqp_mean,vlm_logq_c,vlm_logp_c,vlm_probq_c,vlm_probp_c,vlm_delta_loss_weighted,vlm_delta_logqp_min,vlm_delta_logqp_max,vlm_delta_abs_p95,vlm_delta_abs_p99,vlm_delta_clamp_frac,generator_grad_norm,q_student_weight_delta_l2,q_student_bias_delta_l2,q_student_weight_cos_to_p,q_student_weight_delta_rel,q_student_update_norm,q_train_steps,samples_per_class,vlm_scale_eff,vlm_answer_state_samples,vlm_answer_state_microbatch,vlm_answer_state_norm,loss,grad_norm,fid_siglip,fid_mae,fid_inception,fd_loss_raw,fd_loss_norm,vlm_delta_logqp_std,vlm_delta_logqp_p10,vlm_delta_logqp_p25,vlm_delta_logqp_p50,vlm_delta_logqp_p75,vlm_delta_logqp_p90,vlm_p_ce,vlm_p_target_logp,vlm_p_target_logp_median,vlm_p_target_prob,vlm_p_top1,vlm_p_top5,vlm_p_entropy,vlm_p_top1_conf,vlm_p_target_rank,vlm_p_target_rank_median,vlm_p_margin,vlm_p_margin_target_vs_best_other,vlm_p_target_rank_ratio_to_chance,vlm_q_generator_ce,vlm_q_generator_target_logp,vlm_q_generator_target_logp_median,vlm_q_generator_target_prob,vlm_q_generator_top1,vlm_q_generator_top5,vlm_q_generator_entropy,vlm_q_generator_top1_conf,vlm_q_generator_target_rank,vlm_q_generator_target_rank_median,vlm_q_generator_margin,vlm_pq_full_kl_qp,vlm_pq_full_kl_pq,vlm_pq_js,vlm_pq_top1_agreement,vlm_pq_argmax_disagreement,vlm_target_prob_gap,vlm_chance_top1,vlm_chance_mean_rank,cond_delta,cond_delta_valid,vlm_cond_feature_delta,vlm_cond_feature_cos,probe_top1,probe_top5,probe_logp,probe_rank,vlm_q_student_ce_pre,vlm_q_student_target_logp_pre,vlm_q_student_target_logp_median_pre,vlm_q_student_target_prob_pre,vlm_q_student_top1_pre,vlm_q_student_top5_pre,vlm_q_student_entropy_pre,vlm_q_student_top1_conf_pre,vlm_q_student_target_rank_pre,vlm_q_student_target_rank_median_pre,vlm_q_student_margin_pre,q_ce,q_train_accuracy,q_grad_norm,q_updates_applied,q_lr,q_lora_lr,vlm_q_student_ce,vlm_q_student_target_logp,vlm_q_student_target_logp_median,vlm_q_student_target_prob,vlm_q_student_top1,vlm_q_student_top5,vlm_q_student_entropy,vlm_q_student_top1_conf,vlm_q_student_target_rank,vlm_q_student_target_rank_median,vlm_q_student_margin,vlm_q_student_ce_post,vlm_q_student_target_logp_post,vlm_q_student_target_logp_median_post,vlm_q_student_target_prob_post,vlm_q_student_top1_post,vlm_q_student_top5_post,vlm_q_student_entropy_post,vlm_q_student_top1_conf_post,vlm_q_student_target_rank_post,vlm_q_student_target_rank_median_post,vlm_q_student_margin_post,q_student_bias_delta_rel,q_student_weight_norm,q_student_bias_norm,q_student_lora_delta_l2,q_fresh_batch_ce_pre,q_train_images_per_rank
0,47.30961227416992,4.649162292480469e-05,9.999999747378752e-06,0.5080109238624573,2.032043695449829,9.600000339560211e-05,40.216796875,0.026133714243769646,0.0,0.0,0.0,7.388492662130375e-08,7.388492662130375e-08,-9.693300247192383,-9.693300247192383,0.011668468825519085,0.011668461374938488,0.0,-2.86102294921875e-06,1.9073486328125e-06,1.9073486328125e-06,1.955035259015858e-06,0.0,0.08685076981782913,0.05821836739778519,0.02012586034834385,0.9999821186065674,0.0059755765832960606,0.06159893423318863,1.0,0.9599999785423279,0.0,24.0,1.0,335.1966857910156,2.9992334842681885,0.08685076981782913,218.70791625976562,14.4718656539917,330.6073303222656,563.787109375,2.9992334842681885,9.489573358223424e-07,-9.5367431640625e-07,-4.76837158203125e-07,0.0,9.5367431640625e-07,9.5367431640625e-07,9.693300247192383,-9.693300247192383,-9.8692626953125,0.011668461374938488,0.010416666977107525,0.0416666679084301,1.809017539024353,0.48027747869491577,48.427085876464844,46.0,-8.884265899658203,-8.884265899658203,0.9589521884918213,9.693300247192383,-9.693300247192383,-9.869260787963867,0.011668468825519085,0.010416666977107525,0.0416666679084301,1.809017539024353,0.48027753829956055,48.427085876464844,46.0,-8.884265899658203,9.306662107633201e-10,-9.303000036986475e-10,1.3566018308708294e-09,1.0,0.0,-7.38858352278271e-09,0.009999999776482582,50.5,0.0,0.9791666865348816,0.0,1.0,0.0,0.0,-7.511040687561035,518.625,9.693300247192383,-9.693300247192383,-9.94277572631836,0.01166846789419651,0.010416666977107525,0.0416666679084301,1.8090176582336426,0.48027750849723816,48.427085876464844,44.25,-8.88426685333252,9.693300247192383,0.010416666977107525,71.4169921875,1.0,9.999999747378752e-05,9.999999747378752e-06,8.495346069335938,-8.495346069335938,-8.682607650756836,0.014932925812900066,0.010416666977107525,0.1041666641831398,2.238163471221924,0.37602129578590393,44.958335876464844,39.25,-7.423258304595947,8.495346069335938,-8.495346069335938,-8.682607650756836,0.014932925812900066,0.010416666977107525,0.1041666641831398,2.238163471221924,0.37602129578590393,44.958335876464844,39.25,-7.423258304595947,0.0002976535470224917,9.739603042602539,67.5949478149414,0.020465321838855743,9.693300247192383,24.0
10,36.49345016479492,1.393664933857508e-05,9.999999747378752e-06,0.7202618718147278,2.881047487258911,0.0005760000203736126,40.5625,0.02484508417546749,1.5286825146176852e-05,0.0008195182890631258,0.00014618935529142618,4.2550883293151855,4.2550883293151855,-5.207553863525391,-9.462642669677734,0.012449553236365318,0.008009346202015877,8.510176598974795e-07,-2.8792550563812256,11.975110054016113,10.167732238769531,10.925905227661133,0.0,0.08526267111301422,0.3051835596561432,0.22104403376579285,0.9995144605636597,0.03132426738739014,0.07663225382566452,11.0,10.5600004196167,2.0000000233721948e-07,24.0,1.0,333.53448486328125,2.999227285385132,0.08685076981782913,218.70791625976562,14.342824935913086,325.8740234375,559.0917358398438,2.9992268085479736,1.919707179069519,-9.5367431640625e-07,1.7105326652526855,3.4394142627716064,4.842912673950195,5.559386730194092,9.462642669677734,-9.693300247192383,-9.8692626953125,0.008009346202015877,0.010416666977107525,0.0416666679084301,1.809017539024353,0.38913989067077637,48.427085876464844,46.0,-8.884265899658203,-8.884265899658203,0.9589521884918213,5.207553863525391,-9.693300247192383,-9.869260787963867,0.011668468825519085,0.010416666977107525,0.0416666679084301,1.809017539024353,0.08713152259588242,48.125,46.0,-8.884265899658203,9.306662107633201e-10,-9.303000036986475e-10,1.3566018308708294e-09,0.03125,0.0,-0.004440206568688154,0.009999999776482582,50.5,0.0,0.9791666865348816,0.0,0.9999995231628418,0.0,0.0,-8.388230323791504,518.625,5.207553863525391,-9.693300247192383,-9.94277572631836,0.01166846789419651,0.010416666977107525,0.0416666679084301,1.8090176582336426,0.08713152259588242,48.125003814697266,44.25,-8.88426685333252,6.55025577545166,0.010416666977107525,25.03660774230957,1.0,9.999999747378752e-05,9.999999747378752e-06,4.571637153625488,-8.495346069335938,-8.682607650756836,0.014932925812900066,0.010416666977107525,0.1041666641831398,2.238163471221924,0.08288566023111343,34.35416793823242,24.75,-7.423258304595947,4.571637153625488,-8.495346069335938,-8.682607650756836,0.014932925812900066,0.010416666977107525,0.1041666641831398,2.238163471221924,0.08288566023111343,34.35416793823242,24.75,-7.423258304595947,0.0002976535470224917,9.706331253051758,67.3940658569336,0.020465321838855743,5.207553863525391,24.0
20,35.59627914428711,9.59634780883789e-06,9.999999747378752e-06,0.719642162322998,2.878568649291992,0.0015360000543296337,40.57421875,0.006264999508857727,1.0719061720010359e-05,0.0028544117230921984,-0.00043446302879601717,4.874298095703125,4.874298095703125,-5.074510097503662,-9.948808670043945,0.00955464318394661,0.01761864498257637,1.9497192624839954e-06,-4.656367778778076,16.009336471557617,12.38145637512207,13.49026107788086,0.0,0.03220810741186142,0.35459184646606445,0.42282015085220337,0.9993578195571899,0.03639557212591171,0.06914950162172318,21.0,20.15999984741211,4.0000000467443897e-07,24.0,1.0,331.70550537109375,2.9992122650146484,0.08526267111301422,215.8783721923828,14.0579252243042,318.7669372558594,548.7032470703125,2.999211311340332,3.044994354248047,-0.035982728004455566,1.5787010192871094,4.078513145446777,6.110720634460449,7.934233665466309,9.693300247192383,-9.693300247192383,-9.8692626953125,0.011668461374938488,0.02083333395421505,0.0416666679084301,1.830916404724121,0.48027747869491577,49.614585876464844,48.0,-8.884265899658203,-8.884265899658203,0.9824670553207397,5.207553863525391,-5.207553863525391,-5.100464344024658,0.011668468825519085,0.010416666977107525,0.0416666679084301,4.050076484680176,0.08713152259588242,48.427085876464844,46.0,-2.689422607421875,3.830251693725586,2.228745460510254,0.4456052780151367,0.03125,0.96875,-7.38858352278271e-09,0.009999999776482582,50.5,0.00022350733343046159,0.9791666865348816,0.0006770790787413716,0.9999995231628418,0.0,0.0,-7.994670867919922,518.625,5.207553863525391,-5.207553863525391,-5.092630386352539,0.01166846789419651,0.010416666977107525,0.0416666679084301,4.050076007843018,0.08713152259588242,48.427085876464844,46.25,-2.689423084259033,5.260562419891357,0.010416666977107525,18.68633270263672,1.0,9.999999747378752e-05,9.999999747378752e-06,4.571637153625488,-4.571637153625488,-4.422706604003906,0.015443106181919575,0.0416666679084301,0.125,4.108276844024658,0.08288566023111343,34.35416793823242,24.75,-2.018983840942383,4.571637153625488,-4.571637153625488,-4.422706604003906,0.015443106181919575,0.0416666679084301,0.125,4.108276844024658,0.08288566023111343,34.35416793823242,24.75,-2.018983840942383,0.0032691543456166983,9.706331253051758,67.3940658569336,0.14186623692512512,5.207553863525391,24.0
30,35.36019515991211,7.963180905790068e-06,9.999999747378752e-06,0.7157400846481323,2.8629603385925293,0.002495999913662672,40.57421875,0.00309095811098814,1.1158040251757484e-05,0.0035996739752590656,-0.00039741804357618093,3.8749213218688965,3.8749213218688965,-5.0749311447143555,-8.949851989746094,0.010079840198159218,0.014359233900904655,2.324952902199584e-06,-4.460725784301758,14.73969554901123,11.953909873962402,12.995118141174316,0.0,0.04160895198583603,0.3785136342048645,0.6240414381027222,0.9992901682853699,0.038850922137498856,0.0676964595913887,31.0,29.760000228881836,6.000000212225132e-07,24.0,1.0,330.10577392578125,2.9991824626922607,0.03360029682517052,198.05694580078125,13.568448066711426,309.9718017578125,521.59716796875,2.999180793762207,3.6828882694244385,-0.14632225036621094,1.4319485425949097,4.337985992431641,6.556812286376953,9.111177444458008,9.462642669677734,-9.693300247192383,-9.8692626953125,0.011668461374938488,0.02083333395421505,0.0416666679084301,1.830916404724121,0.47175320982933044,48.427085876464844,48.0,-8.884265899658203,-8.884265899658203,0.9589521884918213,5.0749311447143555,-5.207553863525391,-5.239208221435547,0.010079840198159218,0.010416666977107525,0.0416666679084301,4.050076484680176,0.08440372347831726,48.427085876464844,46.0,-2.689422607421875,3.830251693725586,2.228745460510254,0.4456052780151367,0.03125,0.96875,-7.38858352278271e-09,0.009999999776482582,50.5,0.00022350733343046159,0.9791666865348816,0.0006770790787413716,0.9999995231628418,0.0,0.0,-8.1611909866333,518.625,5.0749311447143555,-5.207553863525391,-5.317816734313965,0.010079840198159218,0.010416666977107525,0.0416666679084301,4.050076007843018,0.08440373092889786,48.427085876464844,46.25,-2.689423084259033,5.014349937438965,0.010416666977107525,16.904184341430664,1.0,9.999999747378752e-05,9.999999747378752e-06,4.491054534912109,-4.571637153625488,-4.518745422363281,0.015370728448033333,0.0416666679084301,0.125,4.108276844024658,0.059066884219646454,34.35416793823242,24.0,-2.018983840942383,4.491054534912109,-4.571637153625488,-4.518745422363281,0.015370728448033333,0.0416666679084301,0.125,4.108276844024658,0.059066884219646454,34.35416793823242,24.0,-2.018983840942383,0.0032691543456166983,9.6741943359375,67.19226837158203,0.14186623692512512,5.0749311447143555,24.0
40,36.136226654052734,8.39233416627394e-06,9.999999747378752e-06,0.7193820476531982,2.877528190612793,0.003456000005826354,40.57421875,0.007223819382488728,2.7029807824874297e-05,0.0043951962143182755,1.1552787327673286e-05,4.933506011962891,4.933506011962891,-4.8075852394104,-9.741090774536133,0.01014256477355957,0.00929168425500393,3.946805009036325e-06,-3.018608808517456,16.375211715698242,12.713743209838867,13.824531555175781,0.0,0.04768425226211548,0.4110631048679352,0.8246474862098694,0.9991881251335144,0.042191822081804276,0.06172638759016991,41.0,39.36000061035156,8.000000093488779e-07,24.0,1.0,329.8233337402344,2.9991540908813477,0.039846792817115784,191.08949279785156,13.088052749633789,302.9613037109375,507.13885498046875,2.9991512298583984,3.769435405731201,0.03577423095703125,1.8619166612625122,4.172394752502441,6.367476463317871,9.482416152954102,9.693300247192383,-9.693300247192383,-9.727654457092285,0.011668461374938488,0.02083333395421505,0.0416666679084301,1.881845235824585,0.47175320982933044,49.614585876464844,49.0,-8.843212127685547,-8.843212127685547,0.9824670553207397,5.0749311447143555,-5.0749311447143555,-5.100464344024658,0.01014256477355957,0.010416666977107525,0.0416666679084301,4.096061706542969,0.08440372347831726,48.427085876464844,46.0,-2.560581922531128,4.66278076171875,2.644923210144043,0.4735677242279053,0.03125,0.96875,-7.38858352278271e-09,0.009999999776482582,50.5,0.00043127231765538454,0.9791667461395264,0.0007395429420284927,0.9999995231628418,0.0,0.0,-8.1611909866333,522.6771240234375,5.0749311447143555,-5.0749311447143555,-5.092630386352539,0.010142563842236996,0.010416666977107525,0.0416666679084301,4.096061706542969,0.08440373092889786,48.427085876464844,46.5,-2.560581922531128,4.936974048614502,0.010416666977107525,16.607301712036133,1.0,9.999999747378752e-05,9.999999747378752e-06,4.491054534912109,-4.491054534912109,-4.422706604003906,0.015443106181919575,0.0416666679084301,0.1354166716337204,4.123652935028076,0.08288566023111343,34.35416793823242,24.0,-2.018983840942383,4.491054534912109,-4.491054534912109,-4.422706604003906,0.015443106181919575,0.0416666679084301,0.1354166716337204,4.123652935028076,0.08288566023111343,34.35416793823242,24.0,-2.018983840942383,0.006253343541175127,9.6741943359375,67.19226837158203,0.17485381662845612,5.0749311447143555,24.0
50,36.22658920288086,9.262561434297822e-06,9.999999747378752e-06,0.716038703918457,2.864154815673828,0.004416000097990036,40.57421875,0.005804026499390602,3.684671173687093e-05,0.008331948891282082,-9.220311767421663e-05,4.211175918579102,4.211175918579102,-4.952489852905273,-9.163665771484375,0.011151865124702454,0.011276988312602043,4.211176019452978e-06,-4.17252254486084,12.290131568908691,10.701604843139648,11.224129676818848,0.0,0.03935210034251213,0.4249785244464874,1.0246206521987915,0.9991718530654907,0.04362011328339577,0.06341330707073212,51.0,48.959999084472656,9.999999974752427e-07,24.0,1.0,329.1163024902344,2.9991228580474854,0.04274846613407135,187.16363525390625,12.602657318115234,295.7261657714844,495.4924621582031,2.999119758605957,3.769435405731201,0.29491329193115234,1.8619166612625122,3.9998779296875,6.045857906341553,9.567922592163086,9.462642669677734,-9.693300247192383,-9.727654457092285,0.011276988312602043,0.02083333395421505,0.0416666679084301,1.881845235824585,0.45082888007164,49.239585876464844,48.0,-8.843212127685547,-8.843212127685547,0.9750413298606873,5.074510097503662,-5.0749311447143555,-5.100464344024658,0.01014256477355957,0.010416666977107525,0.0416666679084301,4.096061706542969,0.08440372347831726,48.427085876464844,46.0,-2.560581922531128,4.59071159362793,2.644923210144043,0.4735677242279053,0.010416666977107525,0.96875,-7.38858352278271e-09,0.009999999776482582,50.5,0.00043127231765538454,0.9791667461395264,0.0007395429420284927,0.9999995231628418,0.0,0.0,-8.1611909866333,518.625,5.074510097503662,-5.0749311447143555,-5.092630386352539,0.010142563842236996,0.010416666977107525,0.0416666679084301,4.096061706542969,0.08440373092889786,48.427085876464844,46.5,-2.560581922531128,4.950155258178711,0.0,16.791528701782227,1.0,9.999999747378752e-05,9.999999747378752e-06,4.472831726074219,-4.491054534912109,-4.422706604003906,0.015443106181919575,0.0416666679084301,0.1354166716337204,4.123652935028076,0.059066884219646454,32.65625,23.25,-2.018983840942383,4.472831726074219,-4.491054534912109,-4.422706604003906,0.015443106181919575,0.0416666679084301,0.1354166716337204,4.123652935028076,0.059066884219646454,32.65625,23.25,-2.018983840942383,0.006253343541175127,9.6431884765625,66.99103546142578,0.17485381662845612,5.074510097503662,24.0
60,36.383480072021484,8.630752745375503e-06,9.999999747378752e-06,0.715713620185852,2.862854480743408,0.005375999957323074,40.57421875,0.007731419987976551,4.336924757808447e-05,0.007863055914640427,0.00017303094500675797,3.9658610820770264,3.9658610820770264,-5.020925045013428,-8.986785888671875,0.010510776191949844,0.01568523235619068,4.7590333451807965e-06,-4.768802642822266,12.755919456481934,11.500420570373535,12.5261812210083,0.0,0.05664968490600586,0.451770156621933,1.2240848541259766,0.9991022348403931,0.04637002572417259,0.06578519940376282,61.0,58.560001373291016,1.2000000424450263e-06,24.0,1.0,327.52191162109375,2.999091148376465,0.043693020939826965,183.9554901123047,12.1298189163208,286.27978515625,482.3650817871094,2.999086856842041,3.79032039642334,0.2987182140350342,1.6550812721252441,4.081441879272461,6.477640151977539,9.683198928833008,9.462642669677734,-9.462642669677734,-9.292969703674316,0.011668461374938488,0.02083333395421505,0.0416666679084301,1.881845235824585,0.47175320982933044,49.239585876464844,48.0,-8.466264724731445,-8.466264724731445,0.9750413298606873,5.074510097503662,-5.074510097503662,-5.067401885986328,0.010510776191949844,0.010416666977107525,0.0416666679084301,4.174346446990967,0.08440372347831726,50.3125,48.0,-2.4379725456237793,4.66278076171875,2.6572208404541016,0.4853864312171936,0.010416666977107525,0.9895833730697632,0.00012512164539657533,0.009999999776482582,50.5,0.0006889014039188623,0.9791667461395264,0.0007448137039318681,0.9999995231628418,0.0,0.0,-7.994670867919922,522.6771240234375,5.074510097503662,-5.074510097503662,-5.092630386352539,0.010510776191949844,0.010416666977107525,0.0416666679084301,4.174346923828125,0.08440373092889786,50.3125,49.5,-2.4379725456237793,4.956250190734863,0.0,17.150081634521484,1.0,9.999999747378752e-05,9.999999747378752e-06,4.472831726074219,-4.472831726074219,-4.422706604003906,0.01692783087491989,0.0416666679084301,0.1354166716337204,4.222455978393555,0.06914927065372467,32.65625,24.0,-1.6795765161514282,4.472831726074219,-4.472831726074219,-4.422706604003906,0.01692783087491989,0.0416666679084301,0.1354166716337204,4.222455978393555,0.06914927065372467,32.65625,24.0,-1.6795765161514282,0.00922932755202055,9.6431884765625,66.99103546142578,0.19154320657253265,5.074510097503662,24.0
70,37.135101318359375,9.429454621567857e-06,9.999999747378752e-06,0.7244552969932556,2.8978211879730225,0.006335999816656113,40.576171875,0.005733676254749298,8.896609506336972e-05,0.015679603442549706,-0.00013467337703332305,5.120745658874512,5.120745658874512,-5.159909725189209,-10.280654907226562,0.011733288876712322,0.005901489406824112,7.169043783505913e-06,-1.9499130249023438,13.968749046325684,11.338958740234375,13.373559951782227,0.0,0.05311556160449982,0.48931649327278137,1.4228794574737549,0.9989792108535767,0.050223808735609055,0.06731995940208435,71.0,68.16000366210938,1.3999999737279722e-06,24.0,1.0,328.8761291503906,2.9990551471710205,0.047736670821905136,180.41905212402344,11.63206672668457,274.5423583984375,466.5934753417969,2.999049186706543,3.7871575355529785,0.26914000511169434,1.7751905918121338,4.401124000549316,6.60482120513916,9.544367790222168,9.462642669677734,-9.693300247192383,-9.727654457092285,0.011276988312602043,0.02083333395421505,0.0416666679084301,1.8797401189804077,0.47175320982933044,49.239585876464844,48.0,-8.843212127685547,-8.843212127685547,0.9750413298606873,5.074510097503662,-5.0749311447143555,-5.100464344024658,0.010510776191949844,0.010416666977107525,0.0416666679084301,4.096061706542969,0.08440372347831726,48.47916793823242,46.0,-2.560581922531128,4.64372444152832,2.6572208404541016,0.4735677242279053,0.010416666977107525,0.96875,-7.38858352278271e-09,0.009999999776482582,50.5,0.0006889014039188623,0.9791667461395264,0.0007448137039318681,0.9999992251396179,0.0,0.0,-7.994670867919922,522.6771240234375,5.074510097503662,-5.0749311447143555,-5.092630386352539,0.010510776191949844,0.010416666977107525,0.0416666679084301,4.096061706542969,0.08440373092889786,48.47917175292969,46.5,-2.560581922531128,4.979576587677002,0.010416666977107525,17.44645881652832,1.0,9.999999747378752e-05,9.999999747378752e-06,4.472831726074219,-4.491054534912109,-4.5084428787231445,0.01692783087491989,0.0416666679084301,0.1354166716337204,4.137687683105469,0.06914927065372467,32.65625,24.0,-1.921522855758667,4.472831726074219,-4.491054534912109,-4.5084428787231445,0.01692783087491989,0.0416666679084301,0.1354166716337204,4.137687683105469,0.06914927065372467,32.65625,24.0,-1.921522855758667,0.00922932755202055,9.612675666809082,66.7904281616211,0.19154320657253265,5.074510097503662,24.0
80,35.57088088989258,9.405613127455581e-06,9.999999747378752e-06,0.7259151339530945,2.903660535812378,0.007296000141650438,40.576171875,0.011623364873230457,0.00011856577475555241,0.010261977091431618,0.001636679284274578,4.235774040222168,4.235774040222168,-5.112075328826904,-9.347848892211914,0.01239054836332798,0.017341338098049164,6.777238468202995e-06,-3.7315526008605957,17.999683380126953,10.60834789276123,14.185039520263672,0.0,0.05165218189358711,0.514182984828949,1.621209979057312,0.9989258050918579,0.05277612432837486,0.06601157784461975,81.0,77.76000213623047,1.6000000186977559e-06,24.0,1.0,332.64202880859375,2.99899959564209,0.052754584699869156,175.78050231933594,10.982171058654785,259.7729187011719,446.53558349609375,2.998994827270508,3.7871575355529785,-0.48693299293518066,1.6295697689056396,4.175880432128906,6.794222831726074,9.237909317016602,9.462642669677734,-9.462642669677734,-9.292969703674316,0.011668461374938488,0.02083333395421505,0.0416666679084301,1.881845235824585,0.47175320982933044,49.239585876464844,48.0,-8.466264724731445,-8.466264724731445,0.9750413298606873,5.0749311447143555,-5.0749311447143555,-5.089290618896484,0.011151865124702454,0.010416666977107525,0.0625,4.096061706542969,0.08713152259588242,48.47916793823242,46.0,-2.560581922531128,4.64372444152832,2.6572208404541016,0.4735677242279053,0.03125,0.96875,0.00012512164539657533,0.009999999776482582,50.5,0.0008768427651375532,0.9895833730697632,0.0008764151716604829,0.9999992251396179,0.0,0.0,-7.984654903411865,529.4896240234375,5.0749311447143555,-5.0749311447143555,-5.088570594787598,0.011151866056025028,0.010416666977107525,0.0625,4.096061706542969,0.08713152259588242,48.47917175292969,46.5,-2.560581922531128,5.049422264099121,0.010416666977107525,17.091529846191406,1.0,9.999999747378752e-05,9.999999747378752e-06,4.491054534912109,-4.491054534912109,-4.478283882141113,0.016988396644592285,0.0416666679084301,0.15625,4.137687683105469,0.08266691863536835,33.375,24.25,-1.921522855758667,4.491054534912109,-4.491054534912109,-4.478283882141113,0.016988396644592285,0.0416666679084301,0.15625,4.137687683105469,0.08266691863536835,33.375,24.25,-1.921522855758667,0.012196212075650692,9.612675666809082,66.7904281616211,0.2097148597240448,5.0749311447143555,24.0
90,35.912967681884766,8.702278137207031e-06,9.999999747378752e-06,0.7252559065818787,2.9010236263275146,0.00825599953532219,40.576171875,0.005047702696174383,0.0001885282399598509,0.03493055701255798,-5.202049214858562e-05,5.451920509338379,5.451920509338379,-4.821528911590576,-10.273448944091797,0.019750013947486877,0.03201951086521149,9.813456927076913e-06,-4.6929097175598145,23.285017013549805,13.316852569580078,19.254003524780273,0.0,0.058862362056970596,0.5577249526977539,1.8188267946243286,0.9987685084342957,0.05724530294537544,0.05791348218917847,91.0,87.36000061035156,1.7999999499807018e-06,24.0,1.0,334.9827880859375,2.998919725418091,0.058862362056970596,172.50611877441406,10.114596366882324,240.03030395507812,422.6510314941406,2.9989125728607178,4.0213518142700195,-0.6511280536651611,1.6154838800430298,4.227062225341797,6.8664984703063965,9.453828811645508,9.462642669677734,-9.693300247192383,-9.62285327911377,0.011668461374938488,0.02083333395421505,0.0416666679084301,1.8797401189804077,0.47175320982933044,49.239585876464844,48.0,-8.843212127685547,-8.843212127685547,0.9750413298606873,5.074510097503662,-5.0749311447143555,-5.089290618896484,0.011151865124702454,0.010416666977107525,0.0625,4.096061706542969,0.08528314530849457,48.427085876464844,46.0,-2.560581922531128,4.64372444152832,2.644923210144043,0.45789313316345215,0.03125,0.96875,0.00012512164539657533,0.009999999776482582,50.5,0.0008768427651375532,0.9791667461395264,0.0008764151716604829,0.9999988079071045,0.0,0.0,-7.984654903411865,522.6771240234375,5.074510097503662,-5.0749311447143555,-5.088570594787598,0.011151866056025028,0.010416666977107525,0.0625,4.096061706542969,0.08528314530849457,48.427085876464844,46.25,-2.560581922531128,5.121622562408447,0.010416666977107525,17.19408416748047,1.0,9.999999747378752e-05,9.999999747378752e-06,4.472831726074219,-4.491054534912109,-4.478283882141113,0.016988396644592285,0.0416666679084301,0.15625,4.123652935028076,0.076866514980793,32.65625,24.0,-1.921522855758667,4.472831726074219,-4.491054534912109,-4.478283882141113,0.016988396644592285,0.0416666679084301,0.15625,4.123652935028076,0.076866514980793,32.65625,24.0,-1.921522855758667,0.012196212075650692,9.581449508666992,66.59044647216797,0.2097148597240448,5.074510097503662,24.0
