step,local_index,class_id,count,p_top1,q_top1,probe_top1,p_target_prob,q_target_prob,p_target_rank,q_target_rank,delta_logqp
500,0,0,10.0,0.0,0.0,0.0,0.000165914108923727,0.006317092827521265,76.8,71.9,9.426081562042237
500,1,10,7.0,0.0,0.0,0.0,0.0008547616068104803,0.012129738660795348,42.42857142857143,35.714285714285715,5.420127323695591
500,2,20,12.0,0.0,0.0,0.0,6.89273280803245e-05,0.009050945906589428,68.16666666666667,47.333333333333336,9.929675141970316
500,3,30,7.0,0.0,0.0,0.0,0.0007119530546160055,0.007873991903449808,46.714285714285715,61.42857142857143,6.548804896218436
500,4,40,7.0,0.0,0.0,0.0,0.001856480069318727,0.014431033549564225,38.0,30.285714285714285,5.95861908367702
500,5,50,6.0,0.16666666666666666,0.0,0.0,0.09923025112736521,0.00846841853732864,24.5,49.5,2.200727939605713
500,6,60,4.0,0.0,0.0,0.0,0.02888708929143391,0.008598547603469342,12.75,62.5,2.2598280906677246
500,7,70,3.0,0.0,0.0,0.0,0.012745514317752319,0.012442382673422495,27.666666666666668,27.333333333333332,4.6149693330128985
500,8,80,6.0,0.0,0.0,0.0,0.01843310729600489,0.00607880709382395,12.5,75.66666666666667,-0.6701567570368449
500,9,90,6.0,0.0,0.0,0.0,0.0005527281741706247,0.008289600955322385,45.5,58.833333333333336,3.495330254236857
500,10,100,4.0,0.0,0.0,0.0,0.00032227844349108636,0.009120705304667354,59.75,49.75,3.6911147832870483
500,11,110,8.0,0.125,0.0,0.0,0.08060285323152883,0.010432796931127086,26.125,43.375,1.1745505332946777
500,12,120,9.0,0.0,0.0,0.1111111111111111,0.00018500122078356988,0.009310054437567791,70.22222222222223,48.77777777777778,8.493042680952284
500,13,130,5.0,0.0,0.0,0.0,0.0003680378085846314,0.009007957112044097,41.2,52.8,3.7304012298583986
500,14,140,5.0,0.0,0.2,0.0,0.0018510865024183088,0.014362086541950703,42.4,35.2,6.571645355224609
500,15,150,3.0,0.0,0.0,0.0,0.0039312421771076815,0.017321612685918808,8.333333333333334,27.0,2.2612662315368652
500,16,160,8.0,0.0,0.0,0.0,0.0026944355581690616,0.01001612504478544,40.375,46.375,2.2108506858348846
500,17,170,9.0,0.0,0.0,0.0,7.316428608083474e-05,0.01137422827175922,66.11111111111111,45.77777777777778,7.867172929975721
500,18,180,7.0,0.0,0.0,0.0,5.7705406350448485e-05,0.007769028523138591,64.42857142857143,60.285714285714285,6.700258323124477
500,19,190,5.0,0.0,0.2,0.0,0.0007606996609865746,0.011732764169573784,41.2,47.8,4.787878465652466
500,20,200,9.0,0.0,0.1111111111111111,0.0,0.0016546443954022277,0.015956701710820198,29.77777777777778,32.666666666666664,5.2831100357903376
500,21,210,4.0,0.0,0.0,0.0,0.0010953625722223137,0.007864138460718095,43.25,61.0,4.29959237575531
500,22,220,10.0,0.0,0.0,0.0,0.0008068031433595025,0.012354750861413777,36.1,41.0,4.746929621696472
500,23,230,10.0,0.0,0.0,0.0,1.917065287613262e-05,0.013732061069458724,83.7,23.0,8.539392805099487
500,24,240,3.0,0.0,0.0,0.0,2.8331757694862365e-05,0.00816080765798688,76.66666666666667,55.666666666666664,7.339248975118001
500,25,250,4.0,0.0,0.0,0.0,0.0009128110109202225,0.00845220498740673,33.5,51.25,4.039662003517151
500,26,260,8.0,0.0,0.0,0.0,0.0009583194310813781,0.013949425047030672,57.0,40.25,5.185263097286224
500,27,270,3.0,0.0,0.0,0.0,0.0017561645266444732,0.011177977857490381,28.0,32.666666666666664,2.2117311159769693
500,28,280,9.0,0.0,0.0,0.0,0.004755726712927653,0.008725174107692309,19.11111111111111,53.55555555555556,3.0670421653323703
500,29,290,4.0,0.0,0.0,0.0,0.028268144635717363,0.010381718399003148,12.0,51.0,3.1308913230895996
500,30,300,8.0,0.0,0.0,0.0,0.00021425854879453254,0.013594148796983063,49.5,39.375,5.72065395116806
500,31,310,10.0,0.0,0.1,0.0,0.017538662547508466,0.013933497620746494,41.0,32.1,3.8881864309310914
500,32,320,5.0,0.0,0.0,0.0,0.009503700981622388,0.010886069107800721,29.2,44.8,3.25606107711792
500,33,330,8.0,0.125,0.0,0.0,0.0784028302300328,0.007484269328415394,8.0,62.125,-0.2571074366569519
500,34,340,4.0,0.0,0.0,0.0,4.524151177243141e-06,0.005680426373146474,89.0,74.5,9.566936254501343
500,35,350,9.0,0.0,0.0,0.0,0.0005163756027160263,0.0084087284695771,53.666666666666664,55.111111111111114,4.744870821634929
500,36,360,9.0,0.0,0.0,0.0,0.0009798198963994291,0.01092684830331968,38.77777777777778,44.111111111111114,5.196346256468031
500,37,370,9.0,0.0,0.0,0.0,0.0007624606650311863,0.009530400572758582,39.77777777777778,51.55555555555556,5.2805562019348145
500,38,380,5.0,0.0,0.0,0.0,0.0026063828301630563,0.012209353409707547,33.6,52.0,4.310321998596192
500,39,390,5.0,0.0,0.0,0.0,0.0008206234996672723,0.008578112814575434,61.6,62.2,5.2456074237823485
500,40,400,7.0,0.0,0.0,0.0,0.00031322811693306515,0.010812579787203245,48.142857142857146,39.142857142857146,4.627870968409947
500,41,410,3.0,0.0,0.0,0.0,0.001099247588122437,0.005306548749407132,48.666666666666664,81.0,9.905614535013834
500,42,420,5.0,0.0,0.0,0.0,0.0037753859211548503,0.009643359296023845,48.6,48.4,4.952663898468018
